"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006260","DNA replication","61/2317","278/18888",0.219424460431655,1.78873077627669,4.95391039729022,3.75266664304113e-06,0.00105199754893253,0.0009826531600625,"ACTR8/ADRA2A/BOD1L1/CAMSAP3/CDC34/CDC6/CDC7/CDK1/CDT1/CHRAC1/CHTF8/DDX11/DNA2/DNAJA3/DTL/ENDOG/ESCO1/FBXO5/GEN1/GMNN/HMGA1/ING5/INO80E/KAT7/KIN/LIG3/LRWD1/MCM2/MCM4/MCM6/MEAF6/MMS22L/ORC6/PARP1/PCNA/POLA2/POLD3/POLG2/POLH/POLN/POLRMT/PPP2CA/PRIM1/RBBP7/RECQL4/REV1/RFC3/RMI1/RPA1/SAMHD1/SETMAR/SLX4/SMARCA5/TOP1/TOP1MT/TWNK/UPF1/USP37/WDHD1/WDR18/WRNIP1",61
"GO:0007127","meiosis I","35/2317","131/18888",0.267175572519084,2.17799404995272,5.05902940680056,5.32608505431891e-06,0.0014252119415807,0.00133126642697426,"AGO4/ANKRD31/ATM/CDC25B/CKS2/DMRT1/FBXO5/HORMAD1/HSF2BP/ING2/M1AP/MAJIN/MEI1/MLH1/MLH3/MND1/MOV10L1/MSH4/PSMA8/RAD21/RAD51AP1/RAD54B/RMI1/RNF212/RPL10L/SIRT7/SLC25A31/SLX4/SPATA22/SPO11/SUN1/SYCE2/TEX15/ZCWPW1/ZWINT",35
"GO:0000070","mitotic sister chromatid segregation","45/2317","188/18888",0.23936170212766,1.95125758730567,4.90147061720217,6.63815804430693e-06,0.00169907984377543,0.00158708181343064,"AKAP8/ANAPC7/ARHGEF10/ATM/BCCIP/CDK1/CDT1/CENPF/CEP192/CHMP1A/CHMP2A/CHMP2B/CHMP3/CHMP5/CLASP1/EML4/FBXO5/FLNA/GEN1/HASPIN/HNRNPU/KIF2A/KIF3B/KLHL22/MAD2L1/MYBL2/NCAPH/NSMCE2/NUMA1/PCID2/RAD21/RAN/RMDN1/SKA1/SKA3/SMARCA5/SPC24/SPDL1/SPICE1/STAG1/TENT4A/TUBG1/TUBG2/VPS4B/ZWINT",45
"GO:0034728","nucleosome organization","36/2317","138/18888",0.260869565217391,2.1265879792085,4.96677136407965,7.09691863127208e-06,0.00174081499926245,0.00162606591797216,"BRD2/CABIN1/CHD1/CHRAC1/H1-2/H1-5/H2AC25/H2AX/H2BC10/H2BC11/H2BC13/H2BC17/H2BC21/H2BC4/H2BC8/H3C12/H3C14/H3C15/H3C8/H4C14/H4C15/HMGA1/MCM2/SART3/SMARCA4/SMARCA5/SMARCC1/SMYD3/SPTY2D1/TSPY1/TSPY10/TSPY2/TSPY3/TSPY4/TSPY8/TSPY9",36
"GO:0031023","microtubule organizing center organization","38/2317","152/18888",0.25,2.03798014674148,4.80443752569534,1.17078027631375e-05,0.00275695339466363,0.00257522364777391,"ARHGEF10/C2CD3/CCDC102B/CCNF/CDK1/CENATAC/CEP120/CEP192/CEP250/CEP295/CEP72/CHMP1A/CHMP2A/CHMP2B/CHMP3/CHMP5/CHORDC1/CLASP1/CNTLN/CNTROB/DCTN1/FBXW5/GEN1/KIF3A/KIF3B/MDM1/NAT10/NUBP1/PARD6A/PARD6B/PARD6G/PDCD6IP/PLK4/SDCCAG8/SPICE1/TRIM37/VPS4B/XRCC2",38
"GO:0044772","mitotic cell cycle phase transition","86/2317","451/18888",0.190687361419069,1.55446822722631,4.45645942010209,1.8330804706745e-05,0.00415051720417723,0.00387692808858445,"ACVR1B/ANAPC2/ANAPC7/ATM/BCL7B/CACNB4/CASP2/CCND3/CCNF/CCNH/CCNI/CCNP/CDC25B/CDC25C/CDC34/CDC6/CDC7/CDC73/CDK1/CDK2AP2/CDKN2A/CENPF/CHMP2A/CKS2/CLASP1/CPSF3/CTDSPL/DDX3X/DPF2/DTL/EZH2/FBXO31/FBXO5/FBXO7/FOXO4/FZR1/GEN1/GSPT1/GTSE1/HASPIN/ID2/INTS3/KANK2/KHDRBS1/KLHL22/MAD2L1/MEPCE/MTA3/NABP2/NSMCE2/PABIR1/PCID2/PIAS1/PKMYT1/PLK3/PLRG1/PPM1D/PPP2CA/PPP2R2D/PRKDC/PRMT2/RAD21/RCC1/RCC2/RIOK2/SMARCA4/SMARCC1/SMC5/SPAST/SPC24/SPDL1/TACC3/TAOK1/TAOK2/TFDP1/TMOD3/TPRA1/TRIAP1/TRIM39/TRIM71/UBE2S/USP37/VPS4B/WNT10B/ZFYVE19/ZWINT",86
"GO:0090151","establishment of protein localization to mitochondrial membrane","14/2317","34/18888",0.411764705882353,3.35667318286831,5.14288976370628,2.12283332873952e-05,0.00462856289121835,0.00432346249876618,"AP3B1/COX18/HSP90AA1/MOAP1/MTCH2/NDUFA13/OXA1L/PDCD5/ROMO1/TIMM13/TIMM29/TIMM8B/TOMM20/TOMM7",14
"GO:0010506","regulation of autophagy","71/2317","357/18888",0.198879551820728,1.62125031281395,4.43120098670562,2.34819963998437e-05,0.00493708974306713,0.00461165222529261,"ADRA1A/ADRB2/ATM/ATP13A2/ATP6V0D1/ATP6V1B2/ATP6V1D/ATP6V1E2/ATP6V1G1/BAD/BAG3/BNIP3/CAPNS1/CDK5R1/CISD1/CISD2/CPTP/CSNK2A2/DAPK3/DDIT3/DRAM2/EEF1A2/ENDOG/EXOC7/EXOC8/FBXO7/FOXK1/FOXK2/FOXO1/FOXO3/GPR137/IL10RA/KLHL22/MAPT/MFSD8/MOAP1/MTDH/NOD2/NPRL2/NPRL3/NRBP2/PHF23/PIK3CB/PINK1/PLK3/PRKN/PSAP/RAB3GAP2/RAB8A/RIPK2/RNF41/RNF5/ROCK1/RRAGD/SLC25A4/SNRNP70/SNX32/SNX4/SNX6/STUB1/SUPT5H/TBC1D25/TBK1/TPCN2/TRIM32/UBQLN1/USP10/USP36/VHL/VPS13C/VPS26B",71
"GO:0006334","nucleosome assembly","31/2317","118/18888",0.26271186440678,2.14160625589782,4.65152496033829,2.5748353216264e-05,0.00522691570290159,0.00488237376412933,"BRD2/CABIN1/CHRAC1/H1-2/H1-5/H2AX/H2BC10/H2BC11/H2BC13/H2BC17/H2BC21/H2BC4/H2BC8/H3C12/H3C14/H3C15/H3C8/H4C14/H4C15/MCM2/SART3/SMARCA5/SMYD3/SPTY2D1/TSPY1/TSPY10/TSPY2/TSPY3/TSPY4/TSPY8/TSPY9",31
"GO:0030705","cytoskeleton-dependent intracellular transport","45/2317","200/18888",0.225,1.83418213206733,4.43470378628962,3.51116642914213e-05,0.00689007892278657,0.00643590646520649,"ACTN4/AP3B1/APBA1/BAG3/BLOC1S3/BORCS8/CALY/CAMSAP3/CCDC88C/COPG1/DST/DYNC1H1/DYNC2I1/DYNLL1/DYNLT2B/FUZ/HNRNPU/HOOK1/HOOK3/IFT140/IFT25/IFT27/IFT81/KIF1B/KIF1C/KIF3A/KIF3B/KIF5B/KXD1/LAMP1/LCA5L/MAPK8IP3/MAPT/MYO10/MYO5B/NEFL/OPA1/SPAST/SPG7/SSNA1/SUN1/TANC2/TMEM108/TRAF3IP1/WDR35",45
"GO:0072655","establishment of protein localization to mitochondrion","31/2317","120/18888",0.258333333333333,2.10591281829953,4.54435934526402,3.66878796244564e-05,0.00696714668868305,0.00650789416496299,"AP3B1/BAP1/CHCHD4/COX18/CSNK2A2/DDIT3/FBXO7/GDAP1/GRPEL1/GRPEL2/HSP90AA1/MAPT/MOAP1/MTCH2/MTERF4/NDUFA13/OXA1L/PDCD5/PINK1/PRKN/ROMO1/TIMM13/TIMM21/TIMM29/TIMM8B/TOMM20/TOMM34/TOMM7/UBE2D3/UBL5/USP36",31
"GO:0000956","nuclear-transcribed mRNA catabolic process","32/2317","126/18888",0.253968253968254,2.07032903795959,4.50747330260775,3.98552610356483e-05,0.00733212255365193,0.00684881196217852,"AGO2/ATM/CNOT1/CNOT4/CNOT9/CTIF/DCPS/DHX34/EXOSC2/EXOSC5/EXOSC8/GSPT1/HNRNPAB/HNRNPU/LSM4/LSM7/MLH1/NBAS/PAN2/PAN3/PATL1/PDE12/PNRC1/SKIC2/SKIC3/SMG6/SMG9/TENT2/TENT4A/TNRC6C/UPF1/UPF2",32
"GO:0032886","regulation of microtubule-based process","54/2317","258/18888",0.209302325581395,1.70621593680682,4.27081822924642,5.23939657661867e-05,0.00934676595350125,0.00873065636882167,"APC2/CALY/CAMSAP1/CAMSAP3/CCNF/CDK2AP2/CDK5R1/CENATAC/CEP120/CEP295/CHMP1A/CHMP2A/CHMP2B/CHMP3/CHMP5/CHORDC1/CLASP1/DCTN1/DYNC1H1/DYNLT2B/EFNA5/FBXW5/FKBP4/FSD1/GBA2/GEN1/HNRNPU/LAMP1/MAPRE3/MAPT/MDM1/NAT10/NUBP1/NUMA1/ODAD2/PARP3/PDCD6IP/PLK4/RAC1/RAE1/ROCK1/SKA1/SKA3/SPAST/SPICE1/STMN3/TACC3/TAOK1/TPPP/TRAF3IP1/TRIM37/TTBK2/TTLL6/VPS4B",54
"GO:0007006","mitochondrial membrane organization","30/2317","117/18888",0.256410256410256,2.09023604793998,4.42323396726404,5.65442177238999e-05,0.00979046499237055,0.00914510815447842,"AFG3L2/AP3B1/BAD/BNIP3/CNP/COX18/HSP90AA1/IMMT/LETM1/MICOS13/MOAP1/MTCH2/NDUFA13/OMA1/OPA1/OXA1L/PDCD5/PINK1/ROMO1/RTL10/SLC25A31/SLC25A4/SLC35F6/SPG7/TIMM13/TIMM29/TIMM8B/TMEM14A/TOMM20/TOMM7",30
"GO:0033108","mitochondrial respiratory chain complex assembly","27/2317","101/18888",0.267326732673267,2.17922629552554,4.44323488873014,6.01797968865019e-05,0.0101222418363096,0.00945501530631837,"ACAD9/CHCHD4/COA5/COX17/COX18/FASTKD3/NDUFA11/NDUFA12/NDUFA13/NDUFA3/NDUFA8/NDUFA9/NDUFAF5/NDUFB10/NDUFB11/NDUFB4/NDUFB7/NDUFS7/OMA1/OXA1L/SDHAF3/SDHAF4/TFAM/TIMM21/UQCC1/UQCC6/UQCRFS1",27
"GO:0071168","protein localization to chromatin","19/2317","60/18888",0.316666666666667,2.58144151920587,4.58771906406131,6.23341630312638e-05,0.0101933671601403,0.00952145227120825,"APLF/BRD2/BRD3/CENPA/EZH2/H1-5/H2AC8/H2BC11/H4C14/H4C15/LEF1/LRWD1/MMS22L/PARP1/PIAS4/PPHLN1/RAD21/SIRT6/VCPIP1",19
"GO:1902115","regulation of organelle assembly","48/2317","223/18888",0.2152466367713,1.75467348957114,4.23904158486833,6.46350027505798e-05,0.0102839530052071,0.00960606698062671,"ARHGAP35/ARHGEF5/CBLN1/CEP120/CEP295/CHMP1A/CHMP2A/CHMP2B/CHMP3/CHMP5/CNOT1/CNTROB/CRIPT/DYNC1H1/DYNLL1/DYNLT2B/EPHB2/FUZ/G3BP2/GAP43/HNRNPU/IFT140/LCP1/LRFN1/MDM1/MOAP1/NUMA1/PAN2/PAN3/PDCD6IP/PHF23/PINK1/PLK4/RAB1B/RAB3GAP2/RNF5/SDCCAG8/SNX4/SPICE1/SPTBN2/TBC1D12/TBC1D7/TRIM32/TRIM37/USP10/VPS4B/WDR44/ZMYND10",48
"GO:0006354","DNA-templated transcription elongation","33/2317","135/18888",0.244444444444444,1.99269169903611,4.32828695892639,6.90369089568496e-05,0.0105565072962802,0.00986065534509897,"CCNK/CDC73/CTR9/EAPP/ELOB/ELOF1/EZH2/GTF2F2/GTF2H5/HMGN1/HNRNPU/INTS11/INTS2/INTS3/INTS5/INTS7/KAT7/LDB1/MED15/MED20/MED25/MED4/NELFA/NELFCD/PARP1/PCID2/POLR2E/POLR2I/SART3/SIRT6/SUPT5H/VHL/WDR43",33
"GO:0016236","macroautophagy","67/2317","343/18888",0.19533527696793,1.59235766567556,4.1398804757576,6.9934395202128e-05,0.0105565072962802,0.00986065534509897,"ADRB2/ATG4B/ATG7/ATM/ATP13A2/ATP6V0D1/ATP6V1B2/ATP6V1D/ATP6V1E2/ATP6V1G1/BAG3/BNIP3/CAPNS1/CDK5R1/CHMP1A/CHMP2A/CHMP2B/CHMP3/CHMP5/CSNK2A2/EMC6/EPHB2/EXOC7/EXOC8/FBXO7/GAA/LRBA/MFSD8/MOAP1/NOD2/NRBP2/PDCD6IP/PGAM5/PHF23/PINK1/PRKN/RAB1B/RAB3GAP2/RETREG1/RIPK2/RNF41/RNF5/SLC25A4/SMURF1/SNX32/SNX4/SNX6/STUB1/STX12/STX17/SUPT5H/TBC1D12/TBC1D25/TBK1/TOMM7/UBQLN1/USP36/VPS13C/VPS16/VPS26B/VPS28/VPS37C/VPS4B/VTA1/VTI1B/WDR45B/WIPI2",67
"GO:0042274","ribosomal small subunit biogenesis","27/2317","103/18888",0.262135922330097,2.13691122182601,4.32623109235944,8.67999466848894e-05,0.0124408160386097,0.0116207563472946,"AATF/BYSL/C1orf131/DDX52/DHX37/FBL/GTF2H5/HEATR1/KRI1/MPHOSPH10/NAT10/NOB1/NOL7/NOP56/PRKDC/RIOK2/RPP40/RPS15/RPS16/RPS23/RPSA2/RRP7A/RRP9/TSR3/UTP18/UTP20/WDR43",27
"GO:0010639","negative regulation of organelle organization","70/2317","365/18888",0.191780821917808,1.56338203037702,4.06409553027868,8.83525289662997e-05,0.0124408160386097,0.0116207563472946,"ANKRD27/APC2/ARAP1/ARHGAP28/ATM/BNIP3/CAPG/CAPZA1/CCNF/CENATAC/CENPF/CLASP1/DMRT1/FBXO5/FKBP4/GEN1/HASPIN/HNRNPA1/HNRNPU/HORMAD1/INPP5K/KANK2/KLHL22/MAD2L1/MAPT/MDM1/MTPN/NAT10/NUBP1/OMA1/OPA1/PARP1/PCID2/PFN1/PFN4/PHF23/PINK1/PRELID1/PRKN/RAD21/RHPN1/RHPN2/RNF41/SETMAR/SLC25A31/SLC25A4/SLC35F6/SLX4/SMARCA5/SMG6/SPC24/SPDL1/SPTAN1/SPTBN2/SSH1/SSH2/SVIL/TAOK1/TBC1D7/TMEM14A/TMOD3/TNKS2/TRIAP1/TRIM32/TRIM37/TTBK2/USP10/WAS/WDR44/ZWINT",70
"GO:0006513","protein monoubiquitination","16/2317","47/18888",0.340425531914894,2.77512190194584,4.55612137392189,8.87573082421619e-05,0.0124408160386097,0.0116207563472946,"DTL/ITCH/KLHL22/PRKN/RBX1/RNF126/SKP1/STUB1/TRIM37/TRIM41/UBE2D3/UBE2O/UBE2R2/UBE2T/UBE3D/ZC4H2",16
"GO:0006399","tRNA metabolic process","44/2317","202/18888",0.217821782178218,1.77566587042822,4.14440647566322,9.56386946527884e-05,0.0130936045446736,0.0122305150762832,"AARSD1/ADAT3/CARS2/CTAG1A/CTAG1B/CTAG2/ELAC1/ELP1/ELP6/EXOSC2/EXOSC8/FAM98A/FARSB/FTSJ1/GATC/GTF3C1/HSD17B10/IARS2/LAGE3/MARS2/MTFMT/NAT10/NSUN2/PARS2/POLR2E/POP1/POP7/PUS3/PUSL1/RARS1/RPP38/RPP40/RTCB/SARS1/TARBP1/TRIT1/TRMO/TRMT11/TRMT112/TRMT2A/TSEN2/TSEN54/VARS2/YRDC",44
"GO:0061952","midbody abscission","9/2317","18/18888",0.5,4.07596029348295,4.88203822921077,0.000106259032156729,0.0140892522412965,0.0131605327900965,"CEP55/CHMP1A/CHMP2A/CHMP2B/CHMP3/CHMP5/MITD1/PDCD6IP/VPS4B",9
"GO:0000075","cell cycle checkpoint signaling","42/2317","191/18888",0.219895287958115,1.79256892488255,4.11659278441036,0.000109034187606881,0.0140892522412965,0.0131605327900965,"ATM/CAMSAP3/CASP2/CDC5L/CDC6/CDK1/CDT1/CENPF/CLOCK/CRY1/DNA2/DTL/FBXO31/FOXO4/FZR1/GEN1/GNB1L/GTSE1/H2AX/HASPIN/HORMAD1/INTS3/INTS7/KLHL22/MAD2L1/NABP2/NSUN2/PABIR1/PCID2/PLK3/PRKDC/RAD9A/SETMAR/SPC24/SPDL1/TAOK1/TAOK2/TELO2/TRIAP1/TRIM39/ZFYVE19/ZWINT",42
